UNINUM,Number,Name,Address,County,City,State,Zip,Service.Type,Established.Date,Acquired.Date,X,Y
227677,7884,Reisterstown Center Branch,11975 Reisterstown Road,Baltimore,Reisterstown,MD,21136,Full Service Brick and Mortar Office,10/05/1960,03/20/2010,-76.8158486,39.44899290000001
227678,7885,Rolling Road Branch,860 North Rolling Road,Baltimore,Catonsville,MD,21228,Full Service Brick and Mortar Office,12/10/1963,03/20/2010,-76.75405529999999,39.2829758
227679,7886,Essex Branch,632 Eastern Boulevard,Baltimore,Essex,MD,21221,Full Service Brick and Mortar Office,08/16/1954,03/20/2010,-76.47128579999999,39.3104926
227681,7887,Drumcastle Branch,6309 York Road,Baltimore City,Baltimore,MD,21212,Full Service Brick and Mortar Office,05/23/1955,03/20/2010,-76.6089355,39.3717087
227684,7888,Catonsville Branch,582 Frederick Road,Baltimore,Catonsville,MD,21228,Full Service Brick and Mortar Office,06/06/1921,03/20/2010,-76.7284705,39.2728935
227697,7890,Timonium Branch,2100 York Road,Baltimore,Timonium,MD,21093,Full Service Brick and Mortar Office,03/02/1959,03/20/2010,-76.6267115,39.440951
227702,7891,Lake Shore Plaza Branch,4305 Mountain Road,Anne Arundel,Pasadena,MD,21122,Full Service Brick and Mortar Office,06/21/1968,03/20/2010,-76.5128227,39.1210464
227705,7892,Satyr Hill Branch,2012 E Joppa Rd,Baltimore,Parkville,MD,21234,Full Service Brick and Mortar Office,08/27/1970,03/20/2010,-76.5432687,39.3992073
227717,7893,Chatham Mall Branch,9230 Baltimore National Pike,Howard,Ellicott City,MD,21042,Full Service Brick and Mortar Office,06/05/1974,03/20/2010,-76.8313271,39.2779788
227722,7894,Hunt Valley Branch,11234 York Road,Baltimore,Cockeysville,MD,21030,Full Service Brick and Mortar Office,09/10/1975,03/20/2010,-76.6496016,39.4929386
227723,7895,Restaurant Park Branch,171 Jennifer Road,Anne Arundel,Annapolis,MD,21401,Full Service Brick and Mortar Office,11/06/1975,03/20/2010,-76.5436526,38.9864975
227724,7896,Crofton Branch,1623 Crofton Center,Anne Arundel,Crofton,MD,21114,Full Service Brick and Mortar Office,12/17/1975,03/20/2010,-76.695454,39.0176662
227731,7897,York Fairmount Branch,989 Fairmount Avenue,Baltimore,Towson,MD,21204,Full Service Brick and Mortar Office,12/08/1977,03/20/2010,-76.6075589,39.4106312
227746,7902,Bay Forest Branch,930 Bay Ridge Road,Anne Arundel,Annapolis,MD,21403,Full Service Brick and Mortar Office,10/15/1981,03/20/2010,-76.4883976,38.94839109999999
227748,7903,Roland Park Branch,5121 Roland Avenue,Baltimore City,Baltimore,MD,21210,Full Service Brick and Mortar Office,03/01/1982,03/20/2010,-76.6343332,39.3562741
227752,7904,Parkside Branch,5040 Sinclair Lane,Baltimore City,Baltimore,MD,21206,Full Service Brick and Mortar Office,01/09/1984,03/20/2010,-76.5456762,39.322709
227754,7905,Monument Street Branch,2008 East Monument Street,Baltimore City,Baltimore,MD,21205,Full Service Brick and Mortar Office,04/09/1984,03/20/2010,-76.5890635,39.298686
227755,7906,Linthicum Branch,721 North Hammonds Ferry Road,Anne Arundel,Linthicum,MD,21090,Full Service Brick and Mortar Office,05/21/1984,03/20/2010,-76.6652261,39.2240885
227764,7907,Eldersburg Branch,1427 Liberty Road,Carroll,Eldersburg,MD,21784,Full Service Brick and Mortar Office,02/22/1988,03/20/2010,-76.94613919999999,39.4022541
227768,7908,Forest Hill Branch,1 Newport Dr,Harford,Forest Hill,MD,21050,Full Service Brick and Mortar Office,06/04/1990,03/20/2010,-76.3857116,39.5780265
231248,8638,Manakin Sabot Branch,12888 Broad Street Road,Goochland,Richmond,VA,23233,Full Service Brick and Mortar Office,12/11/1972,03/20/2010,-77.6743817,37.6687274
232744,8662,Power Plant Branch,104 Marketplace Dr,Hampton City,Hampton,VA,23666,Full Service Brick and Mortar Office,11/03/1971,03/20/2010,-76.40066890000001,37.0375531
238185,7595,Landover Branch,7700 Landover Road,Prince George's,Landover,MD,20785,Full Service Brick and Mortar Office,03/12/1965,03/20/2010,-76.88268029999999,38.9274675
238186,7596,Langley Park Branch,1175 University Boulevard East,Montgomery,Takoma Park,MD,20912,Full Service Brick and Mortar Office,08/28/1962,03/20/2010,-76.9886593,38.9892013
238191,7597,Wheaton Branch,2800 West University Blvd,Montgomery,Wheaton,MD,20902,Full Service Brick and Mortar Office,06/03/1957,03/20/2010,-77.057076,39.0384506
238201,7602,Centre Park Branch,8808 Centre Park Drive,Howard,Columbia,MD,21045,Full Service Brick and Mortar Office,10/14/1981,03/20/2010,-76.8161233,39.226314
238215,7603,Rivertowne Commons Branch,6175 Oxon Hill Road,Prince George's,Oxon Hill,MD,20745,Full Service Brick and Mortar Office,06/17/1987,03/20/2010,-76.9838602,38.8045253
238221,7604,Shops At Silver Hill Branch,5801 Silver Hill Rd,Prince George's,District Heights,MD,20747,Full Service Brick and Mortar Office,01/02/1990,03/20/2010,-76.9060976,38.8547013
239822,7606,Arbutus Branch,1060 Maiden Choice Lane,Baltimore,Baltimore,MD,21229,Full Service Brick and Mortar Office,07/31/1957,03/20/2010,-76.6968297,39.2614417
239824,7607,Loch Raven Branch,1726 East Northern Parkway,Baltimore City,Baltimore,MD,21239,Full Service Brick and Mortar Office,07/28/1955,03/20/2010,-76.5845373,39.3669676
239828,7608,Harundale Branch,7700 Ritchie Hwy,Anne Arundel,Glen Burnie,MD,21061,Full Service Brick and Mortar Office,12/08/1955,03/20/2010,-76.6153221,39.1530789
239830,7609,Pikesville Branch,1515 Reisterstown Road,Baltimore,Baltimore,MD,21208,Full Service Brick and Mortar Office,03/15/1967,03/20/2010,-76.72603149999999,39.3782536
239831,7610,Westlake Crossing Branch,10305 Westlake Dr,Montgomery,Bethesda,MD,20817,Full Service Brick and Mortar Office,03/06/1968,03/20/2010,-77.1479607,39.0256
239832,7611,Liberty Road Branch,8522 Liberty Road,Baltimore,Randallstown,MD,21133,Full Service Brick and Mortar Office,05/07/1969,03/20/2010,-76.7764366,39.3612234
239835,7612,Martin Plaza Branch,1418 Martin Boulevard,Baltimore,Baltimore,MD,21220,Full Service Brick and Mortar Office,06/09/1975,03/20/2010,-76.4470446,39.3336906
239854,7613,Bethesda North Branch,8302 Woodmont Avenue,Montgomery,Bethesda,MD,20814,Full Service Brick and Mortar Office,09/08/1987,03/20/2010,-77.0974325,38.9929597
239870,7614,Rockville Branch,502 Hungerford Drive,Montgomery,Rockville,MD,20850,Full Service Brick and Mortar Office,09/08/1987,03/20/2010,-77.1533465,39.0909059
239871,7615,Leisure World Plaza Branch,3852 International Drive,Montgomery,Silver Spring,MD,20906,Full Service Brick and Mortar Office,09/08/1987,03/20/2010,-77.0751313,39.1021843
243575,7592,Bethesda Branch,4965 Elm St,Montgomery,Bethesda,MD,20814,Full Service Brick and Mortar Office,01/27/1964,03/20/2010,-77.09827949999999,38.9822307
243587,7593,Potomac Promenade Branch,9812 Falls Road,Montgomery,Potomac,MD,20854,Full Service Brick and Mortar Office,04/03/1989,03/20/2010,-77.2107274,39.0175157
243589,7605,Laurel Branch,14817 Baltimore Avenue,Prince George's,Laurel,MD,20707,Full Service Brick and Mortar Office,07/10/1995,03/20/2010,-76.85304219999999,39.0945182
244666,7764,Falls Church Branch,1000 West Broad Street,Falls Church City,Falls Church,VA,22046,Full Service Brick and Mortar Office,05/21/1963,03/20/2010,-77.184417,38.8913638
244668,7765,Mclean Branch,6844 Old Dominion Drive,Fairfax,Mclean,VA,22101,Full Service Brick and Mortar Office,05/22/1967,03/20/2010,-77.1810026,38.9354577
244669,7766,Franconia Branch,6110 Franconia Road,Fairfax,Alexandria,VA,22310,Full Service Brick and Mortar Office,11/12/1970,03/20/2010,-77.1475052,38.7821541
244670,7767,Jefferson Village Branch,2928 Annandale Road,Fairfax,Falls Church,VA,22042,Full Service Brick and Mortar Office,03/05/1971,03/20/2010,-77.1750048,38.8712621
244672,7772,Willston Centre Branch,6112j Arlington Boulevard,Fairfax,Falls Church,VA,22044,Full Service Brick and Mortar Office,08/05/1974,03/20/2010,-77.1439479,38.8692663
244676,7774,Pan Am Branch,3019 Nutley Street,Fairfax,Fairfax,VA,22031,Full Service Brick and Mortar Office,06/12/1980,03/20/2010,-77.2624712,38.8716579
245139,7773,Fairfax Main Branch,10501 Main Street,Fairfax City,Fairfax,VA,22030,Full Service Brick and Mortar Office,07/18/1967,03/20/2010,-77.3086857,38.846373
245661,8674,James Avenue Branch,1603 Boulevard,Colonial Heights City,Colonial Heights,VA,23834,Full Service Brick and Mortar Office,02/17/1964,03/20/2010,-77.41064469999999,37.2545725
246613,7584,Market Square Branch,"801 Pennsylvania Avenue, N.W.",District Of Columbia,Washington,DC,20004,Full Service Brick and Mortar Office,06/20/1994,03/20/2010,-77.02361140000001,38.8942061
246614,7586,Friendship Heights Branch,5100 Wisconsin Avenue,District Of Columbia,Washington,DC,20016,Full Service Brick and Mortar Office,12/30/1994,03/20/2010,-77.08389629999999,38.9562999
246615,7587,G Street Branch,"1310 G Street, N.W.",District Of Columbia,Washington,DC,20005,Full Service Brick and Mortar Office,12/12/1994,03/20/2010,-77.03029529999999,38.898029
246865,7770,Kings Park Branch,8900 Burke Lake Road,Fairfax,Springfield,VA,22151,Full Service Brick and Mortar Office,04/05/1965,03/20/2010,-77.25232439999999,38.8100895
246866,7771,Belle View Branch,1805 Belle View Boulevard,Fairfax,Alexandria,VA,22307,Full Service Brick and Mortar Office,05/21/1966,03/20/2010,-77.06182059999999,38.77466709999999
246892,7809,Arlington Government Plaza Branch,2200 Clarendon Blvd,Arlington,Arlington,VA,22201,Full Service Brick and Mortar Office,06/30/1969,03/20/2010,-77.0860301,38.8904606
246894,7793,Rosslyn Metro Branch,1500 Wilson Boulevard,Arlington,Arlington,VA,22209,Full Service Brick and Mortar Office,10/01/1942,03/20/2010,-77.07459419999999,38.8943981
246895,7810,Barcroft Branch,951 South George Mason Drive,Arlington,Arlington,VA,22204,Full Service Brick and Mortar Office,04/07/1961,03/20/2010,-77.10161350000001,38.8595807
246896,7794,Lee - Glebe Branch,2213 North Glebe Road,Arlington,Arlington,VA,22207,Full Service Brick and Mortar Office,10/14/1964,03/20/2010,-77.12348279999999,38.8979825
246898,7795,Crystal Metro Branch,251 18th Street South,Arlington,Arlington,VA,22202,Full Service Brick and Mortar Office,07/26/1965,03/20/2010,-77.0512799,38.8586218
246899,7811,Ballston Metro Branch,1011 North Stafford Street,Arlington,Arlington,VA,22201,Full Service Brick and Mortar Office,01/12/1970,03/20/2010,-77.1102449,38.8827528
246904,7812,Annandale - John Marr Branch,4260 John Marr Drive,Fairfax,Annandale,VA,22003,Full Service Brick and Mortar Office,03/15/1976,03/20/2010,-77.1901898,38.8310853
246905,7813,Elden & Alabama Branch,1099 Elden Street,Fairfax,Herndon,VA,20170,Full Service Brick and Mortar Office,04/01/1978,03/20/2010,-77.3967215,38.9652655
246906,7801,Burke Centre Branch,5703 Burke Centre Parkway,Fairfax,Burke,VA,22015,Full Service Brick and Mortar Office,03/03/1980,03/20/2010,-77.3226196,38.79984109999999
246910,7807,Springfield Plaza Branch,7030 Old Keene Mill Rd,Fairfax,Springfield,VA,22150,Full Service Brick and Mortar Office,08/15/1984,03/20/2010,-77.18828049999999,38.7791882
246929,7820,Centreville Branch,14011-D Saint Gernaine Drive,Fairfax,Centreville,VA,20121,Full Service Brick and Mortar Office,08/01/1988,03/20/2010,-77.4359084,38.836658
246931,7808,Sully Plaza Branch,13960 Lee Jackson Memorial Highway,Fairfax,Chantilly,VA,20151,Full Service Brick and Mortar Office,03/12/1990,03/20/2010,-77.42920629999999,38.8939076
247066,7600,Severna Park Branch,585 Ritchie Highway,Anne Arundel,Severna Park,MD,21146,Full Service Brick and Mortar Office,01/27/1975,03/20/2010,-76.5437007,39.0759535
247646,7912,"Dunbar At Howard, The",1901 7th St Nw,District Of Columbia,Washington,DC,20001,Full Service Brick and Mortar Office,06/25/1973,03/20/2010,-77.0217213,38.9157435
247965,7781,Wards Corner Branch,7627 Granby Street,Norfolk City,Norfolk,VA,23505,Full Service Brick and Mortar Office,09/13/1968,03/20/2010,-76.2732781,36.9157226
247971,7782,College Park Branch,6563 College Park Square,Virginia Beach City,Virginia Beach,VA,23464,Full Service Brick and Mortar Office,06/16/1975,03/20/2010,-76.21781039999999,36.8104082
247979,7789,Greenbrier - Market Center Branch,1208 Greenbrier Parkway,Chesapeake City,Chesapeake,VA,23320,Full Service Brick and Mortar Office,10/05/1989,03/20/2010,-76.2290144,36.7708786
248400,7750,Willow Lawn Branch,4901 West Broad Street,Henrico,Richmond,VA,23230,Full Service Brick and Mortar Office,11/10/1967,03/20/2010,-77.4937228,37.581489
248401,7751,Meadowbrook Branch,5630 Hopkins Road,Chesterfield,North Chesterfield,VA,23234,Full Service Brick and Mortar Office,05/16/1969,03/20/2010,-77.4735583,37.443832
248404,7752,Parham & Fargo Branch,1701 N Parham Road,Henrico,Richmond,VA,23229,Full Service Brick and Mortar Office,09/10/1971,03/20/2010,-77.5641321,37.6076782
248405,7753,White Oak Village Branch,4489 S Laburnum Avenue,Henrico,Richmond,VA,23231,Full Service Brick and Mortar Office,05/01/1973,03/20/2010,-77.3523752,37.5246191
248406,7754,Crossridge Branch,10190 Staples Mill Rd,Henrico,Glen Allen,VA,23060,Full Service Brick and Mortar Office,11/01/1974,03/20/2010,-77.52390919999999,37.6562246
248407,7757,Southport Branch,10831 Midlothian Turnpike,Chesterfield,Richmond,VA,23235,Full Service Brick and Mortar Office,04/09/1980,03/20/2010,-77.5976474,37.5060274
248410,7761,Mechanicsville - Elm Branch,8111 Mechanicsville Turnpike,Hanover,Mechanicsville,VA,23111,Full Service Brick and Mortar Office,01/01/1986,03/20/2010,-77.3766067,37.5987949
248411,7762,Innsbrook - Cox Road Branch,4020 Cox Road,Henrico,Glen Allen,VA,23060,Full Service Brick and Mortar Office,09/06/1989,03/20/2010,-77.58312049999999,37.6487061
248412,7763,Garrisonville - Doc Stone Branch,290 Garrisonville Road,Stafford,Stafford,VA,22554,Full Service Brick and Mortar Office,10/02/1989,03/20/2010,-77.4194103,38.4751904
248735,7756,Spring Rock Green Branch,7202 Midlothian Turnpike,Chesterfield,North Chesterfield,VA,23225,Full Service Brick and Mortar Office,02/24/1970,03/20/2010,-77.52903549999999,37.5012319
249356,8682,Merrifield Branch,2903 Gallows Road,Fairfax,Falls Church,VA,22042,Full Service Brick and Mortar Office,05/09/1972,03/20/2010,-77.2265718,38.8733311
249358,8683,Hunters Woods Branch,2264 Hunters Wood Plaza,Fairfax,Reston,VA,20191,Full Service Brick and Mortar Office,09/18/1972,03/20/2010,-77.3620072,38.9379464
249418,8641,Amberleigh Village Branch,9601 Amberdale Dr,Chesterfield,North Chesterfield,VA,23236,Full Service Brick and Mortar Office,06/17/1968,03/20/2010,-77.5729123,37.4468904
249419,8642,Chester Branch,4400 West Hundred Road,Chesterfield,Chester,VA,23831,Full Service Brick and Mortar Office,11/03/1969,03/20/2010,-77.4484471,37.3553885
249833,8653,Bayside Branch,1612 Independence Boulevard,Virginia Beach City,Virginia Beach,VA,23455,Full Service Brick and Mortar Office,03/25/1971,03/20/2010,-76.1404258,36.8935367
249836,8654,Pungo Branch,1804 Princess Anne Road,Virginia Beach City,Virginia Beach,VA,23456,Full Service Brick and Mortar Office,04/15/1974,03/20/2010,-76.01704219999999,36.7244777
249837,8655,Hilltop North Branch,1608 Laskin Road,Virginia Beach City,Virginia Beach,VA,23451,Full Service Brick and Mortar Office,10/01/1978,03/20/2010,-76.0171136,36.8520249
249838,8664,Shore Drive Branch,2821 Shore Drive,Virginia Beach City,Virginia Beach,VA,23451,Full Service Brick and Mortar Office,05/18/1979,03/20/2010,-76.0678138,36.9119545
249840,8708,Wells Fargo Center Branch,"440 Monticello Avenue, Suite 150",Norfolk City,Norfolk,VA,23510,Full Service Brick and Mortar Office,03/19/1984,03/20/2010,-76.2876448,36.8513262
249846,8712,Virginia Beach Town Center Branch,125 Independence Boulevard,Virginia Beach City,Virginia Beach,VA,23462,Full Service Brick and Mortar Office,10/15/1985,03/20/2010,-76.13738579999999,36.8414277
249848,8713,Brandy Hill Plaza Branch,7085 Mechanicsville Pike,Hanover,Mechanicsville,VA,23111,Full Service Brick and Mortar Office,09/11/1986,03/20/2010,-77.3417454,37.6111246
249849,8714,General Booth Branch,2125 General Booth Boulevard,Virginia Beach City,Virginia Beach,VA,23454,Full Service Brick and Mortar Office,09/29/1986,03/20/2010,-76.0141877,36.7673931
249851,8715,Parham Route One Branch,8101 Brook Road,Henrico,Richmond,VA,23227,Full Service Brick and Mortar Office,01/05/1987,03/20/2010,-77.4585056,37.6334757
249852,8716,Second & Grace Branch,122 East Grace Street,Richmond City,Richmond,VA,23219,Full Service Brick and Mortar Office,06/29/1987,03/20/2010,-77.44095829999999,37.543961
249856,8717,Hunter Mill Branch,2946 Chain Bridge Road,Fairfax,Oakton,VA,22124,Full Service Brick and Mortar Office,02/21/1986,03/20/2010,-77.30201749999999,38.881201
249861,8718,Stoney Creek Branch,2935 Rockfish Valley Highway,Nelson,Nellysford,VA,22958,Full Service Brick and Mortar Office,12/01/1987,03/20/2010,-78.8726543,37.8911222
249869,8720,Radford Branch,1040 East Main Street,Radford,Radford,VA,24141,Full Service Brick and Mortar Office,08/24/1988,03/20/2010,-80.5552281,37.1412593
249877,8721,Midlothian Village Branch,13530 Midlothian Turnpike,Chesterfield,Midlothian,VA,23113,Full Service Brick and Mortar Office,09/26/1988,03/20/2010,-77.6503244,37.5037584
249879,8722,Smoketown Plaza Branch,13716 Smoketown Road,Prince William,Woodbridge,VA,22192,Full Service Brick and Mortar Office,03/15/1989,03/20/2010,-77.30661769999999,38.6543657
249882,8723,Chesterfield Meadows Branch,6441 Chesterfield Meadows Drive,Chesterfield,Chesterfield,VA,23832,Full Service Brick and Mortar Office,03/29/1989,03/20/2010,-77.4999311,37.3703732
249883,8724,Smithfield Plaza Branch,13400 Benns Church Boulevard,Isle Of Wight,Smithfield,VA,23430,Full Service Brick and Mortar Office,06/06/1989,03/20/2010,-76.6004992,36.9521725
249886,8725,Graves Mill Center Branch,17967 Forest Road,Bedford,Forest,VA,24551,Full Service Brick and Mortar Office,09/05/1989,03/20/2010,-79.24833070000001,37.3768785
249895,8727,Brandermill Branch,13200 Hull Street Road,Chesterfield,Midlothian,VA,23112,Full Service Brick and Mortar Office,04/23/1990,03/20/2010,-77.6398253,37.4189488
249944,8746,Short Pump Branch,3300 Pump Road,Henrico,Richmond,VA,23233,Full Service Brick and Mortar Office,09/20/1996,03/20/2010,-77.61589169999999,37.6467026
249946,8747,Danville Branch,3346 Riverside Drive,Danville City,Danville,VA,24541,Full Service Brick and Mortar Office,01/21/1997,03/20/2010,-79.4281475,36.58482970000001
250159,7817,Warwick Village Branch,11006 Warwick Boulevard,Newport News City,Newport News,VA,23601,Full Service Brick and Mortar Office,10/06/1970,03/20/2010,-76.4710843,37.044088
250420,8686,Courthouse Manassas Branch,9210 Church Street,Manassas City,Manassas,VA,20110,Full Service Brick and Mortar Office,03/15/1971,03/20/2010,-77.4749251,38.7515442
250507,7874,Great Falls Branch,750 Walker Road,Fairfax,Great Falls,VA,22066,Full Service Brick and Mortar Office,03/13/1979,03/20/2010,-77.2888444,38.99652
251594,7748,Norton Branch,"701 Park Avenue, Sw",Norton City,Norton,VA,24273,Full Service Brick and Mortar Office,07/13/1981,03/20/2010,-82.6283808,36.9338349
251617,7818,Coliseum Mall Branch,2050 Coliseum Drive,Hampton City,Hampton,VA,23666,Full Service Brick and Mortar Office,08/23/1973,03/20/2010,-76.3899089,37.046591
252447,7745,Lee Highway Branch,3375 Lee Highway,Bristol,Bristol,VA,24202,Full Service Brick and Mortar Office,01/15/1977,03/20/2010,-82.1186984,36.6344548
252523,7806,Roosevelt Gardens Branch,2316 E Little Creek Rd,Norfolk City,Norfolk,VA,23518,Full Service Brick and Mortar Office,07/27/1976,03/20/2010,-76.2187111,36.9155132
252788,7861,Colonial Square Branch,3107 Boulevard,Colonial Heights City,Colonial Heights,VA,23834,Full Service Brick and Mortar Office,01/19/1976,03/20/2010,-77.41067869999999,37.26928600000001
254177,7759,Salem Church Branch,4246 Plank Road,Spotsylvania,Fredericksburg,VA,22407,Full Service Brick and Mortar Office,12/26/1984,03/20/2010,-77.5348473,38.2883572
254394,7786,Kempsville Branch,5293 Princess Anne Road,Virginia Beach City,Virginia Beach,VA,23462,Full Service Brick and Mortar Office,07/05/1978,03/20/2010,-76.1685123,36.8283551
254397,7788,Holland Road Branch,4287 Holland Road,Virginia Beach City,Virginia Beach,VA,23452,Full Service Brick and Mortar Office,04/05/1984,03/20/2010,-76.1225575,36.8203949
254993,7760,Hayes Branch,2469 George Washington Hwy,Gloucester,Hayes,VA,23072,Full Service Brick and Mortar Office,05/27/1980,03/20/2010,-76.5005414,37.277579
259776,9203,Rutland Commons Branch,9197 Atlee Road,Hanover,Mechanicsville,VA,23116,Full Service Brick and Mortar Office,10/21/1988,03/20/2010,-77.4001969,37.6511207
260121,9201,Rivers Bend Branch,13241 River's Bend Boulevard,Chesterfield,Chester,VA,23836,Full Service Brick and Mortar Office,03/17/1997,03/20/2010,-77.355099,37.349015
264993,7590,Chevy Chase Circle Branch,5701 Connecticut Ave Nw,District Of Columbia,Washington,DC,20015,Full Service Brick and Mortar Office,01/01/1907,03/20/2010,-77.07600819999999,38.9663248
264994,7589,20th & L Branch,2001 K Street Nw,District Of Columbia,Washington,DC,20006,Full Service Brick and Mortar Office,01/01/1907,03/20/2010,-77.0452025,38.9030567
264997,7588,Spring Valley Branch,"4841 Massachusetts Avenue, N.W.",District Of Columbia,Washington,DC,20016,Full Service Brick and Mortar Office,01/01/1907,03/20/2010,-77.0957016,38.9455138
265028,7625,Quince Orchard Branch,12161 Darnestown Road,Montgomery,Gaithersburg,MD,20878,Full Service Brick and Mortar Office,02/21/1995,03/20/2010,-77.2510448,39.1188841
265542,9195,Independence Branch,699 Independence Boulevard,Virginia Beach City,Virginia Beach,VA,23455,Full Service Brick and Mortar Office,01/01/1889,03/20/2010,-76.13303719999999,36.8617784
265544,9196,Providence Square Branch,905 Kempsville Road,Virginia Beach City,Virginia Beach,VA,23464,Full Service Brick and Mortar Office,01/01/1889,03/20/2010,-76.1664098,36.8125643
265547,9194,Kiln Creek Branch,110 Ottis Street,York,Yorktown,VA,23693,Full Service Brick and Mortar Office,06/30/1994,03/20/2010,-76.4702765,37.114223
267961,7618,Arlington Branch,5701 Reisterstown Rd,Baltimore City,Baltimore,MD,21215,Full Service Brick and Mortar Office,01/01/1884,03/20/2010,-76.6931649,39.3500711
267964,7619,Columbia Mall Branch,10400 Little Patuxent Parkway,Howard,Columbia,MD,21044,Full Service Brick and Mortar Office,01/01/1884,03/20/2010,-76.85867309999999,39.2123504
267974,7620,Westminster Branch,375 North Center Street,Carroll,Westminster,MD,21157,Full Service Brick and Mortar Office,01/01/1884,03/20/2010,-76.9838111,39.5745875
267980,7621,Chesapeake Square Branch,6708 Ritchie Hwy,Anne Arundel,Glen Burnie,MD,21061,Full Service Brick and Mortar Office,01/01/1884,03/20/2010,-76.6140514,39.19285989999999
267993,7622,Greenspring Branch,2847 Smith Avenue,Baltimore,Baltimore,MD,21209,Full Service Brick and Mortar Office,01/01/1884,03/20/2010,-76.6913944,39.3744002
272369,7876,Hopewell Branch,425 South 15th Avenue,Hopewell City,Hopewell,VA,23860,Full Service Brick and Mortar Office,01/01/1933,03/20/2010,-77.297709,37.2934938
272374,7877,South Crater Square Branch,3360 South Crater Road,Petersburg City,Petersburg,VA,23805,Full Service Brick and Mortar Office,06/30/1988,03/20/2010,-77.3667844,37.182371
275568,8740,Bradlee Branch,3690c King Street,Alexandria City,Alexandria,VA,22302,Full Service Brick and Mortar Office,11/22/1935,03/20/2010,-77.0921948,38.8296628
275571,8741,Hollin Hall Branch,7928 Fort Hunt Road,Fairfax,Alexandria,VA,22308,Full Service Brick and Mortar Office,11/22/1935,03/20/2010,-77.0563564,38.7413336
277049,7585,North Capitol & E Branch,"444 North Capitol Street, N.W.",District Of Columbia,Washington,DC,20001,Full Service Brick and Mortar Office,01/01/1897,03/20/2010,-77.00978680000001,38.8958561
282946,7616,Dogwood Station Branch,2339 North Rolling Road,Baltimore,Windsor Mill,MD,21244,Full Service Brick and Mortar Office,06/30/1985,03/20/2010,-76.7578952,39.3220428
282951,7617,Merritt Point Branch,1643 Merritt Boulevard,Baltimore,Baltimore,MD,21222,Full Service Brick and Mortar Office,06/30/1987,03/20/2010,-76.5017792,39.272283
284439,7824,Cobblestone Branch,8640 Centreville Road,Manassas City,Manassas,VA,20110,Full Service Brick and Mortar Office,01/01/1960,03/20/2010,-77.4563484,38.7667806
284441,7825,Tackett's Mill Branch,12771 Harbor Dr,Prince William,Woodbridge,VA,22192,Full Service Brick and Mortar Office,01/01/1960,03/20/2010,-77.2789019,38.6755995
284442,7826,Woodbridge Branch,13891 Jefferson Davis Highway,Prince William,Woodbridge,VA,22191,Full Service Brick and Mortar Office,01/01/1960,03/20/2010,-77.2565419,38.6516811
284459,7828,Little Neck Branch,301 Little Neck Road,Virginia Beach City,Virginia Beach,VA,23452,Full Service Brick and Mortar Office,06/30/1988,03/20/2010,-76.0916082,36.8417723
285250,8733,Bon Air At Forest Hill Branch,9026 Forest Hill Avenue,Chesterfield,Richmond,VA,23235,Full Service Brick and Mortar Office,01/01/1967,03/20/2010,-77.5640007,37.5360054
285260,8735,West Park Branch,9801 West Broad Street,Henrico,Glen Allen,VA,23060,Full Service Brick and Mortar Office,01/01/1967,03/20/2010,-77.5653899,37.6421494
285676,8742,Fair Oaks Branch,11781 Lee Jackson Memorial Highway,Fairfax,Fairfax,VA,22033,Full Service Brick and Mortar Office,04/26/1974,03/20/2010,-77.35352879999999,38.8624313
285677,8743,Churchill Branch,1311 Dolley Madison Boulevard,Fairfax,Mclean,VA,22101,Full Service Brick and Mortar Office,04/26/1974,03/20/2010,-77.177094,38.9398778
285742,8731,Jahnke Road Branch,7012 Marlowe Road,Richmond City,Richmond,VA,23225,Full Service Brick and Mortar Office,01/01/1973,03/20/2010,-77.5237811,37.5156216
285743,8732,Gaskins Road Branch,1390 Gaskins Road,Henrico,Richmond,VA,23238,Full Service Brick and Mortar Office,01/01/1973,03/20/2010,-77.59115659999999,37.6068677
285755,8734,Brook Run Branch,5610 Brook Road,Henrico,Richmond,VA,23227,Full Service Brick and Mortar Office,01/01/1973,03/20/2010,-77.4574914,37.6093224
285766,8737,Ghent Branch,2000 Colonial Avenue,Norfolk City,Norfolk,VA,23517,Full Service Brick and Mortar Office,06/30/1987,03/20/2010,-76.2915404,36.8685154
285777,8738,Ashland Branch,101 South Washington Highway,Hanover,Ashland,VA,23005,Full Service Brick and Mortar Office,06/30/1989,03/20/2010,-77.4710487,37.7579471
287960,7623,St Thomas Shopping Center Branch,9948 Reisterstown Road,Baltimore,Owings Mills,MD,21117,Full Service Brick and Mortar Office,06/30/1986,03/20/2010,-76.76931429999999,39.411187
357642,8216,Harbour Pointe Branch,13505 Harbour Pointe Pkwy,Chesterfield,Midlothian,VA,23112,Full Service Brick and Mortar Office,08/14/2000,03/20/2010,-77.649654,37.411718
358598,8229,Monticello Marketplace Branch,4690 Monticello Avenue,James City,Williamsburg,VA,23188,Full Service Brick and Mortar Office,07/01/1999,03/20/2010,-76.75728079999999,37.2710463
358911,8235,Germantown Branch,19708 Germantown Road,Montgomery,Germantown,MD,20874,Full Service Brick and Mortar Office,09/25/2000,03/20/2010,-77.26642199999999,39.1798053
426745,8822,Gainesville Branch,7591 Somerset Crossing Drive,Prince William,Gainesville,VA,20155,Full Service Brick and Mortar Office,02/23/2004,03/20/2010,-77.629046,38.79217149999999
